text,emotion
你要不要去吃午餐？,平淡語氣
誒誒誒！我甄選上了！,開心語調
我幾天身體好像有點不太舒服，肚子好痛,悲傷語調
我的小專題組員都不做事，幹!超後悔跟他一組,憤怒語調
他們是不是吵架了？不會打起來吧？,平淡語氣
你知道嗎?我們班有人交女朋友誒!,驚奇語調
幹！他真的有夠噁心，衛生習慣有夠差。,厭惡語調
啊今天騎腳踏車你去不去？,平淡語氣
我們今天班際籃球賽贏了！！！,開心語調
今天我跟我朋友吵架了,悲傷語調
有人在背後說我胖！幹!,憤怒語調
我好像被我喜歡的人討厭了。,平淡語氣
我剛剛看到有人的眉毛像是蠟筆小新！,驚奇語調
為什麼我的便當裡面都是青椒啦！真的吵討厭吃青椒的！,厭惡語調
這禮拜要去圖書館嗎？,平淡語氣
我這禮拜就要出國玩了!,開心語調
我覺得我好像要被當了...,悲傷語調
你知道嗎?他們竟然分手了!,驚奇語調
我昨天夢到有一隻超大蜘蛛在追著我跑！,平淡語氣
今天去吃的那家餐廳真的蠻髒的。,厭惡語調
我這次終於把程式寫出來了！,開心語調
我今天被老師罵了..,悲傷語調
今年的夏天好像比較晚來,平淡語氣
為什麼他們可以在背後這樣批評人超沒禮貌的。,憤怒語調
他們兩個竟然牽手了!,驚奇語調
你覺得我今天哪裡不一樣？,平淡語氣
今年的聖誕節又要到了！,開心語調
竟然有人會在交換禮物送小番茄？,驚奇語調
明天就要比賽了，真的好緊張。,平淡語氣
這次聖誕節禮物抽到了盜版的東西，煩死了。,厭惡語調
我剛剛座位抽到我好朋友的旁邊！,開心語調
黑豹的演員過世了...,悲傷語調
有人在背後說我的壞話！,憤怒語調
你覺得今年我有可能中樂透嗎？,平淡語氣
聽說我們科裡有老師要退休了。,驚奇語調
啊我不小心吃到肉了！,平淡語氣
我媽終於要讓我養狗了！,開心語調
今天的天氣真的超悶。,厭惡語調
這次的表演我犯了一個超大的錯誤，我搞砸了。,悲傷語調
我的同學一直嗆我的飲食習慣。,憤怒語調
你知道嗎?國防老師今年已經四十幾歲!,驚奇語調
最近好像有颱風要來誒！,驚奇語調
我終於弄懂了基本電學！,開心語調
這個老師的規定也太奇怪了吧。,厭惡語調
昨天騎腳踏車的時候，我差一點就被車撞了。,平淡語氣
我養了三年的魚今天死了...,悲傷語調
你覺得今年的流行趨勢會是什麼?,平淡語氣
有人在公車上對老人家沒禮貌!,憤怒語調
我剛剛在路上看到一個超級像明星的人!,驚奇語調
我剛剛收到了大學錄取通知書!,開心語調
這部電影的特效真的很爛。,厭惡語調
我覺得我快掛了...,平淡語氣
我最喜歡的咖啡廳要關了。,悲傷語調
你覺得人工智能會影響我們的工作嗎?,平淡語氣
有人在網上盜用我的照片!,憤怒語調
我剛發現我家後院有一棵會結果的蘋果樹噎!,驚奇語調
我剛剛在公園看到一隻會說話的鸚鵡!,驚奇語調
我終於存到錢買了一台新相機!,開心語調
"這家店的衣服品質真的很差,穿沒幾次就壞了。",厭惡語調
"我明天要去見未來的公公婆婆,好緊張...",平淡語氣
我最喜歡的作家去世了...,悲傷語調
你覺得未來的交通工具會是什麼樣子?,平淡語氣
有人在網上散播我的個人信息!,憤怒語調
"我剛剛在抽屜裡發現了一張舊彩券,居然中了大獎!",驚奇語調
我的論文被東森新聞接受了!,開心語調
這個政客的言論真的很令人反感。,厭惡語調
我好像聽到房子裡有奇怪的聲音...,平淡語氣
"我最好的朋友要移民了,以後可能很難見面了。",悲傷語調
你覺得學習一門新語言重要嗎?,平淡語氣
有人在公共場所亂丟垃圾!,憤怒語調
我剛剛在街上遇到了我的偶像!,驚奇語調
我剛剛在後院發現了一個古老的時間膠囊!,驚奇語調
我的寵物狗剛剛學會了一個新把戲!,開心語調
這個網紅的行為真的很惹人厭。,厭惡語調
"我明天要坐雲霄飛車,但我很怕高...",平淡語氣
我最喜歡的餐廳因為疫情關門了...,悲傷語調
你覺得未來人類會移民火星嗎?,平淡語氣
有人在網上冒充我詐騙!,憤怒語調
我剛剛在舊衣服口袋裡找到一張中獎彩券!,驚奇語調
我終於完成了我的第一本小說!,開心語調
這家餐廳的衛生條件真的很糟糕。,厭惡語調
我聽說附近可能有食人魚出沒...,平淡語氣
我養了十年的盆栽今天枯萎了。,悲傷語調
你覺得人工智能會取代藝術家嗎?,平淡語氣
有人偷了我辛苦栽種的花!,憤怒語調
我剛剛發現我家附近有一個秘密的地下隧道!,驚奇語調
我今天終於拿到我的畢業證書了！,開心語調
我昨天和陳安羽吵架了，現在很難過。,悲傷語調
今天有個人插我隊，真的很不爽！,憤怒語調
最近工作壓力很大，我擔心自己做不好。,平淡語氣
你知道嗎？他居然考上了台科大！,驚奇語調
今天的午餐味道好奇怪，有點想吐。,厭惡語調
今天要不要一起去看電影？,平淡語氣
我剛剛中了彩卷，雖然只是1000塊錢！,開心語調
最近的工作進度很糟糕，我覺得自己越來越沒自信。,悲傷語調
為什麼那麼多人都只會拖延，害我什麼都做不了！,憤怒語調
這週末要專題報告，我好怕報告的不好。,平淡語氣
哇，他竟然一天內就完成了這麼多事情！,驚奇語調
這件外套穿起來好不舒服，我真的受不了。,厭惡語調
我終於完成了這個專案，超開心的！,開心語調
我的貓今天走丟了，我好擔心牠。,悲傷語調
那個人竟然在我說話的時候打斷我，有夠白癡！,憤怒語調
我對明天的面試真的很緊張，很怕沒辦法通過。,平淡語氣
你竟然一次就解出這麼難的題！,驚奇語調
這一家的咖啡真的很難喝。,厭惡語調
下班後要不要一起去吃飯？,平淡語氣
我真的很想放假，我不想再回到那種環境了。,悲傷語調
我覺得現在這種情況真的很危險。,平淡語氣
為什麼每次都是我被罵？,憤怒語調
你想聽一個好消息！,開心語調
今天要做一些整理工作。,平淡語氣
這份報告真的是太差了。,厭惡語調
你覺得我應該要怎麼做才好？,平淡語氣
